Timestamp,Price,Book Size,Gap,Volatility,Queue Size,Cash/testagent1,Cash/testagent2,Cash/testagent3,Cash/testagent4,Cash/testagent5,Shares/testagent1,Shares/testagent2,Shares/testagent3,Shares/testagent4,Shares/testagent5,Net Worth/testagent1,Net Worth/testagent2,Net Worth/testagent3,Net Worth/testagent4,Net Worth/testagent5,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
3307.710197644777,100.3,251,1.5500000000000114,0.708141712441041,0.0,10016375.169999998,9980468.13,10007179.549999999,9995431.520000001,10000545.63,9838,10194,9928,10046,9994,11003126.569999998,11002926.33,11002957.95,11003045.320000002,11002943.83,313,351,197,318,472,172,194,72,46,180,80,157,125,217,157
3505.8070472856034,100.87,217,0.060000000000002274,0.702518010840687,0.4493146078616519,10022528.239999998,9974315.06,10007179.549999999,9995431.520000001,10000545.63,9777,10255,9928,10046,9994,11008734.229999999,11008736.91,11008616.909999998,11008771.540000001,11008640.41,313,439,197,318,472,233,255,72,46,180,80,157,125,217,157
3544.122108399462,100.87,240,0.04999999999999716,0.6968227282976758,0.0,10022528.239999998,9974315.06,10007179.549999999,9995431.520000001,10000545.63,9777,10255,9928,10046,9994,11008734.229999999,11008736.91,11008616.909999998,11008771.540000001,11008640.41,313,439,197,318,561,233,255,72,46,180,80,157,125,217,223
3692.521268716766,101.03,223,1.1400000000000006,0.6950649137850365,1.1419197829741279,10022528.239999998,9971587.25,10007179.549999999,9995431.520000001,10003273.440000001,9777,10282,9928,10046,9967,11010298.549999999,11010377.71,11010205.389999999,11010378.900000002,11010239.450000001,313,439,197,318,598,233,282,72,46,207,80,157,125,217,223
3752.209948170387,101.03,247,1.1400000000000006,0.6928700242638703,0.6399751287640356,10022528.239999998,9971587.25,10007179.549999999,9995431.520000001,10003273.440000001,9777,10282,9928,10046,9967,11010298.549999999,11010377.71,11010205.389999999,11010378.900000002,11010239.450000001,313,439,221,318,598,233,282,72,46,207,80,157,125,217,223
3888.8146536636696,101.03,274,1.1400000000000006,0.6903186165732048,0.7822381579035209,10022528.239999998,9971587.25,10007179.549999999,9995431.520000001,10003273.440000001,9777,10282,9928,10046,9967,11010298.549999999,11010377.71,11010205.389999999,11010378.900000002,11010239.450000001,340,439,221,318,598,233,282,72,46,207,80,157,125,217,223
4183.24716489229,101.03,69,0.3299999999999983,0.687476901281722,2.7386341396040734,10022528.239999998,9971587.25,10007179.549999999,9995431.520000001,10003273.440000001,9777,10282,9928,10046,9967,11010298.549999999,11010377.71,11010205.389999999,11010378.900000002,11010239.450000001,348,439,221,318,598,233,282,72,46,207,80,157,125,272,381
4398.769069032755,101.03,132,0.3299999999999983,0.6843995746475723,0.0,10022528.239999998,9971587.25,10007179.549999999,9995431.520000001,10003273.440000001,9777,10282,9928,10046,9967,11010298.549999999,11010377.71,11010205.389999999,11010378.900000002,11010239.450000001,348,502,221,318,598,233,282,72,46,207,80,157,125,272,381
4417.372232631609,101.03,213,0.21999999999999886,0.6811320229769089,0.14180366291566315,10022528.239999998,9971587.25,10007179.549999999,9995431.520000001,10003273.440000001,9777,10282,9928,10046,9967,11010298.549999999,11010377.71,11010205.389999999,11010378.900000002,11010239.450000001,348,502,221,399,598,233,282,72,46,207,80,157,125,272,381
4456.650899652644,100.46,262,0.25,0.6721236551083682,0.0,10022528.239999998,9971587.25,10007179.549999999,9995431.520000001,10003273.440000001,9777,10282,9928,10046,9967,11004725.659999998,11004516.97,11004546.43,11004652.680000002,11004558.260000002,348,502,221,399,691,233,282,72,46,227,80,157,149,272,381
